,0
Sex_F_x,0.049883186810555556
Sex_F_y,0.031029496392870535
Sex_Age_Interaction,0.027107222734478874
57throw_189thcolumn,0.0011852852790548232
41throw_86thcolumn,0.001045388778858642
42throw_58thcolumn,0.001023139792214171
75throw_185thcolumn,0.0009303570517325411
172throw_188thcolumn,0.0008868887120562454
24throw_145thcolumn,0.0008706032617792632
99throw_124thcolumn,0.00081438911052117
91throw_196thcolumn,0.0008115656040687468
42throw_64thcolumn,0.0008092448259712526
99throw_142thcolumn,0.0008000281566733268
36throw_59thcolumn,0.0007314419157484851
2throw_67thcolumn,0.0007171039074643658
13throw_72thcolumn,0.0007025257853769783
72throw_137thcolumn,0.0006916035650986011
110throw_172thcolumn,0.000685349453566301
145throw_178thcolumn,0.0006849355780248203
142throw_145thcolumn,0.0006664069923593272
