,0
SDQ_SDQ_Generating_Impact_x,0.01667256059440616
SDQ_SDQ_Hyperactivity_x,0.0064752084491170895
SDQ_SDQ_Externalizing_x,0.005166457013458019
SDQ_SDQ_Difficulties_Total_x,0.0021762523631380644
SDQ_SDQ_Internalizing_x,0.0018579682228886027
11throw_166thcolumn,0.001830717011991712
96throw_107thcolumn,0.0017577129997613128
0throw_190thcolumn,0.0015737244369341658
16throw_103thcolumn,0.0014905563505300118
53throw_157thcolumn,0.0014823714107750807
58throw_106thcolumn,0.0013892265308373226
97throw_192thcolumn,0.0013355882779839915
60throw_95thcolumn,0.0013081184791263688
6throw_154thcolumn,0.0012967285198223829
28throw_197thcolumn,0.001293977172080868
62throw_177thcolumn,0.001265626002550667
157throw_163thcolumn,0.0012376615314747628
8throw_196thcolumn,0.001219543590225477
58throw_142thcolumn,0.0012176945920397981
12throw_20thcolumn,0.0012149275737800061
